,ISIN,Issue Date,Maturity Date,Coupon,Coupon Start Date,Date Collected,Price,Last Coupon Payment Date,Coupon Periods,Dirty Price,Maturity Period
0,CA135087J546,2018-10-05,2024-03-01,0.0225,2019-03-01,2024-01-08,99.63,2023-09-01,[],100.42520547945205,53
1,CA135087J546,2018-10-05,2024-03-01,0.0225,2019-03-01,2024-01-09,99.64,2023-09-01,[],100.4413698630137,52
2,CA135087J546,2018-10-05,2024-03-01,0.0225,2019-03-01,2024-01-10,99.65,2023-09-01,[],100.45753424657535,51
3,CA135087J546,2018-10-05,2024-03-01,0.0225,2019-03-01,2024-01-11,99.66,2023-09-01,[],100.47369863013698,50
4,CA135087J546,2018-10-05,2024-03-01,0.0225,2019-03-01,2024-01-12,99.67,2023-09-01,[],100.48986301369864,49
5,CA135087J546,2018-10-05,2024-03-01,0.0225,2019-03-01,2024-01-15,99.69,2023-09-01,[],100.52835616438355,46
6,CA135087J546,2018-10-05,2024-03-01,0.0225,2019-03-01,2024-01-16,99.68,2023-09-01,[],100.52452054794522,45
7,CA135087J546,2018-10-05,2024-03-01,0.0225,2019-03-01,2024-01-17,99.68,2023-09-01,[],100.53068493150685,44
8,CA135087J546,2018-10-05,2024-03-01,0.0225,2019-03-01,2024-01-18,99.71,2023-09-01,[],100.56684931506848,43
9,CA135087J546,2018-10-05,2024-03-01,0.0225,2019-03-01,2024-01-19,99.72,2023-09-01,[],100.58301369863014,42
10,CA135087J967,2019-04-05,2024-09-01,0.015,2019-09-01,2024-01-08,97.96,2023-09-01,[53],98.49013698630137,237
11,CA135087J967,2019-04-05,2024-09-01,0.015,2019-09-01,2024-01-09,97.98,2023-09-01,[52],98.51424657534247,236
12,CA135087J967,2019-04-05,2024-09-01,0.015,2019-09-01,2024-01-10,97.98,2023-09-01,[51],98.51835616438356,235
13,CA135087J967,2019-04-05,2024-09-01,0.015,2019-09-01,2024-01-11,97.98,2023-09-01,[50],98.52246575342465,234
14,CA135087J967,2019-04-05,2024-09-01,0.015,2019-09-01,2024-01-12,98.02,2023-09-01,[49],98.56657534246575,233
15,CA135087J967,2019-04-05,2024-09-01,0.015,2019-09-01,2024-01-15,98.05,2023-09-01,[46],98.60890410958903,230
16,CA135087J967,2019-04-05,2024-09-01,0.015,2019-09-01,2024-01-16,97.97,2023-09-01,[45],98.53301369863014,229
17,CA135087J967,2019-04-05,2024-09-01,0.015,2019-09-01,2024-01-17,97.97,2023-09-01,[44],98.53712328767124,228
18,CA135087J967,2019-04-05,2024-09-01,0.015,2019-09-01,2024-01-18,98.0,2023-09-01,[43],98.57123287671233,227
19,CA135087J967,2019-04-05,2024-09-01,0.015,2019-09-01,2024-01-19,98.01,2023-09-01,[42],98.58534246575343,226
20,CA135087K528,2019-10-11,2025-03-01,0.0125,2020-03-01,2024-01-08,96.46,2023-09-01,"[53, 237]",96.9017808219178,418
21,CA135087K528,2019-10-11,2025-03-01,0.0125,2020-03-01,2024-01-09,96.48,2023-09-01,"[52, 236]",96.92520547945206,417
22,CA135087K528,2019-10-11,2025-03-01,0.0125,2020-03-01,2024-01-10,96.55,2023-09-01,"[51, 235]",96.99863013698629,416
23,CA135087K528,2019-10-11,2025-03-01,0.0125,2020-03-01,2024-01-11,96.58,2023-09-01,"[50, 234]",97.03205479452055,415
24,CA135087K528,2019-10-11,2025-03-01,0.0125,2020-03-01,2024-01-12,96.66,2023-09-01,"[49, 233]",97.11547945205479,414
25,CA135087K528,2019-10-11,2025-03-01,0.0125,2020-03-01,2024-01-15,96.71,2023-09-01,"[46, 230]",97.17575342465753,411
26,CA135087K528,2019-10-11,2025-03-01,0.0125,2020-03-01,2024-01-16,96.54,2023-09-01,"[45, 229]",97.00917808219178,410
27,CA135087K528,2019-10-11,2025-03-01,0.0125,2020-03-01,2024-01-17,96.45,2023-09-01,"[44, 228]",96.92260273972603,409
28,CA135087K528,2019-10-11,2025-03-01,0.0125,2020-03-01,2024-01-18,96.49,2023-09-01,"[43, 227]",96.96602739726026,408
29,CA135087K528,2019-10-11,2025-03-01,0.0125,2020-03-01,2024-01-19,96.46,2023-09-01,"[42, 226]",96.93945205479451,407
30,CA135087K940,2020-04-03,2025-09-01,0.005,2020-09-01,2024-01-08,94.34,2023-09-01,"[53, 237, 418]",94.51671232876713,602
31,CA135087K940,2020-04-03,2025-09-01,0.005,2020-09-01,2024-01-09,94.37,2023-09-01,"[52, 236, 417]",94.54808219178082,601
32,CA135087K940,2020-04-03,2025-09-01,0.005,2020-09-01,2024-01-10,94.38,2023-09-01,"[51, 235, 416]",94.55945205479452,600
33,CA135087K940,2020-04-03,2025-09-01,0.005,2020-09-01,2024-01-11,94.43,2023-09-01,"[50, 234, 415]",94.61082191780822,599
34,CA135087K940,2020-04-03,2025-09-01,0.005,2020-09-01,2024-01-12,94.49,2023-09-01,"[49, 233, 414]",94.67219178082192,598
35,CA135087K940,2020-04-03,2025-09-01,0.005,2020-09-01,2024-01-15,94.49,2023-09-01,"[46, 230, 411]",94.67630136986301,595
36,CA135087K940,2020-04-03,2025-09-01,0.005,2020-09-01,2024-01-16,94.42,2023-09-01,"[45, 229, 410]",94.60767123287671,594
37,CA135087K940,2020-04-03,2025-09-01,0.005,2020-09-01,2024-01-17,94.25,2023-09-01,"[44, 228, 409]",94.43904109589042,593
38,CA135087K940,2020-04-03,2025-09-01,0.005,2020-09-01,2024-01-18,94.24,2023-09-01,"[43, 227, 408]",94.4304109589041,592
39,CA135087K940,2020-04-03,2025-09-01,0.005,2020-09-01,2024-01-19,94.22,2023-09-01,"[42, 226, 407]",94.4117808219178,591
40,CA135087L518,2020-10-09,2026-03-01,0.0025,2021-03-01,2024-01-08,92.86,2023-09-01,"[53, 237, 418, 602]",92.94835616438355,783
41,CA135087L518,2020-10-09,2026-03-01,0.0025,2021-03-01,2024-01-09,92.86,2023-09-01,"[52, 236, 417, 601]",92.94904109589041,782
42,CA135087L518,2020-10-09,2026-03-01,0.0025,2021-03-01,2024-01-10,92.84,2023-09-01,"[51, 235, 416, 600]",92.92972602739727,781
43,CA135087L518,2020-10-09,2026-03-01,0.0025,2021-03-01,2024-01-11,92.86,2023-09-01,"[50, 234, 415, 599]",92.95041095890411,780
44,CA135087L518,2020-10-09,2026-03-01,0.0025,2021-03-01,2024-01-12,93.02,2023-09-01,"[49, 233, 414, 598]",93.11109589041095,779
45,CA135087L518,2020-10-09,2026-03-01,0.0025,2021-03-01,2024-01-15,93.01,2023-09-01,"[46, 230, 411, 595]",93.1031506849315,776
46,CA135087L518,2020-10-09,2026-03-01,0.0025,2021-03-01,2024-01-16,92.8,2023-09-01,"[45, 229, 410, 594]",92.89383561643835,775
47,CA135087L518,2020-10-09,2026-03-01,0.0025,2021-03-01,2024-01-17,92.57,2023-09-01,"[44, 228, 409, 593]",92.6645205479452,774
48,CA135087L518,2020-10-09,2026-03-01,0.0025,2021-03-01,2024-01-18,92.55,2023-09-01,"[43, 227, 408, 592]",92.64520547945204,773
49,CA135087L518,2020-10-09,2026-03-01,0.0025,2021-03-01,2024-01-19,92.54,2023-09-01,"[42, 226, 407, 591]",92.63589041095891,772
50,CA135087L930,2021-04-16,2026-09-01,0.01,2021-09-01,2024-01-08,93.46,2023-09-01,"[53, 237, 418, 602, 783]",93.81342465753424,967
51,CA135087L930,2021-04-16,2026-09-01,0.01,2021-09-01,2024-01-09,93.44,2023-09-01,"[52, 236, 417, 601, 782]",93.79616438356165,966
52,CA135087L930,2021-04-16,2026-09-01,0.01,2021-09-01,2024-01-10,93.55,2023-09-01,"[51, 235, 416, 600, 781]",93.90890410958905,965
53,CA135087L930,2021-04-16,2026-09-01,0.01,2021-09-01,2024-01-11,93.53,2023-09-01,"[50, 234, 415, 599, 780]",93.89164383561643,964
54,CA135087L930,2021-04-16,2026-09-01,0.01,2021-09-01,2024-01-12,93.6,2023-09-01,"[49, 233, 414, 598, 779]",93.96438356164383,963
55,CA135087L930,2021-04-16,2026-09-01,0.01,2021-09-01,2024-01-15,93.57,2023-09-01,"[46, 230, 411, 595, 776]",93.94260273972603,960
56,CA135087L930,2021-04-16,2026-09-01,0.01,2021-09-01,2024-01-16,93.4,2023-09-01,"[45, 229, 410, 594, 775]",93.77534246575343,959
57,CA135087L930,2021-04-16,2026-09-01,0.01,2021-09-01,2024-01-17,93.12,2023-09-01,"[44, 228, 409, 593, 774]",93.49808219178082,958
58,CA135087L930,2021-04-16,2026-09-01,0.01,2021-09-01,2024-01-18,93.08,2023-09-01,"[43, 227, 408, 592, 773]",93.46082191780822,957
59,CA135087L930,2021-04-16,2026-09-01,0.01,2021-09-01,2024-01-19,93.07,2023-09-01,"[42, 226, 407, 591, 772]",93.45356164383561,956
60,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-08,93.28,2023-09-01,"[53, 237, 418, 602, 783, 967]",93.7217808219178,1148
61,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-09,93.3,2023-09-01,"[52, 236, 417, 601, 782, 966]",93.74520547945205,1147
62,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-10,93.24,2023-09-01,"[51, 235, 416, 600, 781, 965]",93.68863013698629,1146
63,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-11,93.19,2023-09-01,"[50, 234, 415, 599, 780, 964]",93.64205479452055,1145
64,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-12,93.47,2023-09-01,"[49, 233, 414, 598, 779, 963]",93.92547945205479,1144
65,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-15,93.49,2023-09-01,"[46, 230, 411, 595, 776, 960]",93.95575342465753,1141
66,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-16,93.14,2023-09-01,"[45, 229, 410, 594, 775, 959]",93.60917808219178,1140
67,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-17,92.86,2023-09-01,"[44, 228, 409, 593, 774, 958]",93.33260273972603,1139
68,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-18,92.75,2023-09-01,"[43, 227, 408, 592, 773, 957]",93.22602739726027,1138
69,CA135087M847,2021-10-15,2027-03-01,0.0125,2022-03-01,2024-01-19,92.76,2023-09-01,"[42, 226, 407, 591, 772, 956]",93.23945205479453,1137
70,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-08,97.58,2023-09-01,"[53, 237, 418, 602, 783, 967, 1148]",98.55191780821917,1332
71,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-09,97.59,2023-09-01,"[52, 236, 417, 601, 782, 966, 1147]",98.56945205479452,1331
72,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-10,97.6,2023-09-01,"[51, 235, 416, 600, 781, 965, 1146]",98.58698630136986,1330
73,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-11,97.52,2023-09-01,"[50, 234, 415, 599, 780, 964, 1145]",98.5145205479452,1329
74,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-12,97.74,2023-09-01,"[49, 233, 414, 598, 779, 963, 1144]",98.74205479452054,1328
75,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-15,97.77,2023-09-01,"[46, 230, 411, 595, 776, 960, 1141]",98.79465753424657,1325
76,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-16,97.44,2023-09-01,"[45, 229, 410, 594, 775, 959, 1140]",98.47219178082192,1324
77,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-17,97.09,2023-09-01,"[44, 228, 409, 593, 774, 958, 1139]",98.12972602739727,1323
78,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-18,96.96,2023-09-01,"[43, 227, 408, 592, 773, 957, 1138]",98.00726027397259,1322
79,CA135087N837,2022-05-13,2027-09-01,0.0275,2022-09-01,2024-01-19,96.95,2023-09-01,"[42, 226, 407, 591, 772, 956, 1137]",98.00479452054795,1321
80,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-08,100.5,2023-09-01,"[53, 237, 418, 602, 783, 967, 1148, 1332]",101.73698630136987,1514
81,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-09,100.48,2023-09-01,"[52, 236, 417, 601, 782, 966, 1147, 1331]",101.72657534246576,1513
82,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-10,100.44,2023-09-01,"[51, 235, 416, 600, 781, 965, 1146, 1330]",101.69616438356164,1512
83,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-11,100.33,2023-09-01,"[50, 234, 415, 599, 780, 964, 1145, 1329]",101.59575342465753,1511
84,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-12,100.64,2023-09-01,"[49, 233, 414, 598, 779, 963, 1144, 1328]",101.91534246575343,1510
85,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-15,100.67,2023-09-01,"[46, 230, 411, 595, 776, 960, 1141, 1325]",101.97410958904109,1507
86,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-16,100.22,2023-09-01,"[45, 229, 410, 594, 775, 959, 1140, 1324]",101.53369863013698,1506
87,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-17,99.83,2023-09-01,"[44, 228, 409, 593, 774, 958, 1139, 1323]",101.15328767123287,1505
88,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-18,99.66,2023-09-01,"[43, 227, 408, 592, 773, 957, 1138, 1322]",100.99287671232877,1504
89,CA135087P576,2022-10-21,2028-03-01,0.035,2023-03-01,2024-01-19,99.62,2023-09-01,"[42, 226, 407, 591, 772, 956, 1137, 1321]",100.96246575342467,1503
90,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-08,99.74,2023-09-01,"[53, 237, 418, 602, 783, 967, 1148, 1332, 1514]",100.8886301369863,1698
91,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-09,99.72,2023-09-01,"[52, 236, 417, 601, 782, 966, 1147, 1331, 1513]",100.87753424657534,1697
92,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-10,99.72,2023-09-01,"[51, 235, 416, 600, 781, 965, 1146, 1330, 1512]",100.88643835616438,1696
93,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-11,99.55,2023-09-01,"[50, 234, 415, 599, 780, 964, 1145, 1329, 1511]",100.72534246575343,1695
94,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-12,99.88,2023-09-01,"[49, 233, 414, 598, 779, 963, 1144, 1328, 1510]",101.06424657534247,1694
95,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-15,99.91,2023-09-01,"[46, 230, 411, 595, 776, 960, 1141, 1325, 1507]",101.12095890410959,1691
96,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-16,99.44,2023-09-01,"[45, 229, 410, 594, 775, 959, 1140, 1324, 1506]",100.65986301369863,1690
97,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-17,98.99,2023-09-01,"[44, 228, 409, 593, 774, 958, 1139, 1323, 1505]",100.21876712328766,1689
98,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-18,98.81,2023-09-01,"[43, 227, 408, 592, 773, 957, 1138, 1322, 1504]",100.04767123287671,1688
99,CA135087Q491,2023-04-21,2028-09-01,0.0325,2023-09-01,2024-01-19,98.77,2023-09-01,"[42, 226, 407, 591, 772, 956, 1137, 1321, 1503]",100.01657534246576,1687
