ISIN,Issue Date,Maturity Date,Coupon,Coupon Start Date,FV
CA135087J967,4/5/2019,9/1/2024,1.500,9/1/2019,100.0
CA135087K528,10/11/2019,3/1/2025,1.250,3/1/2020,100.0
CA135087K940,4/3/2020,9/1/2025,0.500,9/1/2020,100.0
CA135087L518,10/9/2020,3/1/2026,0.250,3/1/2021,100.0
CA135087L930,4/16/2021,9/1/2026,1.000,9/1/2021,100.0
CA135087M847,10/15/2021,3/1/2027,1.250,3/1/2022,100.0
CA135087N837,5/13/2022,9/1/2027,2.750,9/1/2022,100.0
CA135087P576,10/21/2022,3/1/2028,3.500,3/1/2023,100.0
CA135087Q491,4/21/2023,9/1/2028,3.250,9/1/2023,100.0
CA135087Q988,10/13/2023,3/1/2029,4.00,3/1/2024,100.0
CA135087J397,7/27/2018,6/1/2029,2.25,12/1/2018,100.0
CA135087N670,3/29/2022,12/1/2029,2.25,6/1/2022,100.0
CA135087K379,7/26/2019,6/1/2030,1.25,12/1/2019,100.0
CA135087L443,10/5/2020,12/1/2030,0.5,12/1/2020,100.0
CA135087M276,4/26/2021,6/1/2031,1.5,6/1/2021,100.0
CA135087N266,10/25/2021,12/1/2031,1.5,12/1/2021,100.0
CA135087N597,3/16/2022,6/1/2032,2.0,6/1/2022,100.0
CA135087P329,8/8/2022,12/1/2032,2.5,12/1/2022,100.0