ISIN,Price Date,Price
CA135087J967,2024-04-10,98.72
CA135087K528,2024-04-10,97.15
CA135087K940,2024-04-10,95.24
CA135087L518,2024-04-10,93.36
CA135087L930,2024-04-10,93.52
CA135087M847,2024-04-10,93.16
CA135087N837,2024-04-10,96.99
CA135087P576,2024-04-10,99.40
CA135087Q491,2024-04-10,98.42
CA135087Q988,2024-04-10,101.9010
CA135087J397,2024-04-10,94.6978
CA135087N670,2024-04-10,94.3291
CA135087K379,2024-04-10,88.0220
CA135087L443,2024-04-10,82.7277
CA135087M276,2024-04-10,87.5991
CA135087N266,2024-04-10,86.7163
CA135087N597,2024-04-10,89.5339
CA135087P329,2024-04-10,92.5921